Name,First Name,Last Name,Login Name,User Name,Job Title,Display Name,Description,Password,Email,Organizational Unit,
Søren Høvding,Søren,Høvding,søhø@test.local,søhø,Direktør,søhø,Direktion,P@ssw0rd!!,søhø@test.dk,"OU=Direktor,OU=Drietion,OU=Firma1,DC=test,DC=local",
Lene Lund,Lene,Lund,lelu@test.local,lelu,Sekretær,lelu,Direktion,P@ssw0rd!!,lelu@test.dk,"OU=Sekreter,OU=Drietion,OU=Firma1,DC=test,DC=local ",
Ole Odder,Ole,Odder,olod@test.local,olod,Salgschef,olod,Salgsafdeling,P@ssw0rd!!,olod@test.dk,"OU=Salgafdeling,OU=Firma1,DC=test,DC=local",
Sten Begmand,Sten,Begmand,stbe@test.local,stbe,Afdelingsleder,stbe,Salgsafdeling,P@ssw0rd!!,stbe@test.dk,"OU=Salgafdeling,OU=Firma1,DC=test,DC=local",
Thomas Helikopter,Thomas,Helikopter,thhe@test.local,thhe,Sælger,thhe,Salgsafdeling,P@ssw0rd!!,thhe@test.dk,"OU=Salgafdeling,OU=Firma1,DC=test,DC=local",
John Hyld,John,Hyld,johy@test.local,johy,Sælger,johy,Salgsafdeling,P@ssw0rd!!,johy@test.dk,"OU=Salgafdeling,OU=Firma1,DC=test,DC=local",
Bente Bentzen,Bente,Bentzen,bebe@test.local,bebe,Kontorelev,bebe,Salgsafdeling,P@ssw0rd!!,bebe@test.dk,"OU=Salgafdeling,OU=Firma1,DC=test,DC=local",
Birger Bønnelykke,Birger,Bønnelykke,bibø@test.local,bibø,Indkøbschef,bibø,IndKøbsafdeling,P@ssw0rd!!,bibø@test.dk,"OU=Indkobafdeling,OU=Firma1,DC=test,DC=local",
Janie Toft,Janie,Toft,jato@test.local,jato,Indkøber,jato,IndKøbsafdeling,P@ssw0rd!!,jato@test.dk,"OU=Indkobafdeling,OU=Firma1,DC=test,DC=local",
Kirsten Bonde,Kirsten,Bonde,kibo@test.local,kibo,Kontorchef,kibo,Administrationafdeling,P@ssw0rd!!,kibo@test.dk,"OU=Administrator-afd,OU=Firma1,DC=test,DC=local",
Lone Madsen,Lone,Madsen,loma@test.local,loma,Kontorassistent,loma,Administrationafdeling,P@ssw0rd!!,loma@test.dk,"OU=Administrator-afd,OU=Firma1,DC=test,DC=local",
