First Name,Last Name,Full Name,ID,Job Title,Description,Password,Organizational Unit,
Søren,Høvding,Søren Høvding,søhø,Direktør,Direktion,P@ssw0rd,,
Lene,Lund,Lene Lund,lelu,Sekretær,Direktion,P@ssw0rd,,
Ole,Odder,Ole Odder,olod,Salgschef,Salgsafdeling,P@ssw0rd,,
Sten,Begmand,Sten Begmand,stbe,Afdelingsleder,Salgsafdeling,P@ssw0rd,,
Thomas,Helikopter,Thomas Helikopter,thhe,Sælger,Salgsafdeling,P@ssw0rd,,
John,Hyld,John Hyld,johy,Sælger,Salgsafdeling,P@ssw0rd,,
Bente,Bentzen,Bente Bentzen,bebe,Kontorelev,Salgsafdeling,P@ssw0rd,,
Birger,Bønnelykke,Birger Bønnelykke,bibø,Indkøbschef,IndKøbsafdeling,P@ssw0rd,,
Janie,Toft,Janie Toft,jato,Indkøber,IndKøbsafdeling,P@ssw0rd,,
Kirsten,Bonde,Kirsten Bonde,kibo,Kontorchef,Administrationafdeling,P@ssw0rd,,
Lone,Madsen,Lone Madsen,loma,Kontorassistent,Administrationafdeling,P@ssw0rd,,
Nina,Poulsen,Nina Poulsen,nipo,Kontorelev,Administrationafdeling,P@ssw0rd,,
Viktor,Hald,Viktor Hald,viha,Personalechef,Personaleafdeling,P@ssw0rd,,
Marianne,Jensen,Marianne Jensen,maje,Kontorassistent,Personaleafdeling,P@ssw0rd,,
Ulla,Hansen,Ulla Hansen,ulha,Informationsmedarbejder,Personaleafdeling,P@ssw0rd,,
Kurt,Nielsen,Kurt Nielsen,kuni,Økonomichef,Økonomiafdeling,P@ssw0rd,,
Hanne,Jensen,Hanne Jensen,haje,Bogholderi,Økonomiafdeling,P@ssw0rd,,
Anders,Larsen,Anders Larsen,anla,Kasse,Økonomiafdeling,P@ssw0rd,,
Michael,Mester,Michael Mester,mime ,IT-Chef,IT-Afdeling,P@ssw0rd,,
Gunnar,Nørd,Gunnar Nørd,gunø,Netværksadministrator,IT-Afdeling,P@ssw0rd,,
Karina,Petersen,Karina Petersen,kape,Lærling,IT-Afdeling,P@ssw0rd,,
Line,Kold,Line Kold,liko,Produktionschef,Produktionsafdeling,P@ssw0rd,,
Jesper,Johansen,Jesper Johansen,jejo,Produktions Værkfører,Produktionsafdeling,P@ssw0rd,,
Sune,Fender,Sune Fender,sufe,Produktions Svend,Produktionsafdeling,P@ssw0rd,,
Gunnar,Jensen,Gunnar Jensen,guje,Produktions Svend/SuperBruger,Produktionsafdeling,P@ssw0rd,,
Ib,Frederiksen,Ib Frederiksen,ibfr,Produktions Lærling,Produktionsafdeling,P@ssw0rd,,
Hans,Bjergsted,Hans Bjergsted,habj,Reparations Værkfører,Produktionsafdeling,P@ssw0rd,,
Torben,Gerner,Torben Gerner,toge,Reparations Svend,Produktionsafdeling,P@ssw0rd,,
Frank,Ceder,Frank Ceder,frce,Reparations Lærling,Produktionsafdeling,P@ssw0rd,,
Tom,Bajer,Tom Bajer,toba,Lager Værksfører,Produktionsafdeling,P@ssw0rd,,
Bjarne,Henriksen,Bjarne Henriksen,bjhe,Lagerarbejder,Produktionsafdeling,P@ssw0rd,,
Egon,Hanson,Egon Hanson,egha,Lagerarbejder,Produktionsafdeling,P@ssw0rd,,
,,,,,,,,
,,,,,,,,
